"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,105,"IND","India",1,"Andaman and Nicobar","Union Territor","Union Territory",NA,"Andaman & Nicobar Islands|Andaman et Nicobar|Iihas de Andama e Nicobar|Inseln Andamanen und Nikobare"
2,105,"IND","India",2,"Andhra Pradesh","State","State",NA,NA
3,105,"IND","India",3,"Arunachal Pradesh","State","State",NA,"Agence de la Frontière du Nord-Est(French-obsolete)|North East Frontier Agency"
4,105,"IND","India",4,"Assam","State","State",NA,NA
5,105,"IND","India",5,"Bihar","State","State",NA,NA
6,105,"IND","India",6,"Chandigarh","Union Territor","Union Territory",NA,NA
7,105,"IND","India",7,"Chhattisgarh","State","State",NA,NA
8,105,"IND","India",8,"Dadra and Nagar Haveli","Union Territor","Union Territory",NA,"DAdra et Nagar Haveli|Dadra e Nagar Haveli"
9,105,"IND","India",9,"Daman and Diu","Union Territor","Union Territory",NA,NA
10,105,"IND","India",10,"Delhi","Union Territor","Union Territory",NA,NA
11,105,"IND","India",11,"Goa","State","State",NA,"Gôa"
12,105,"IND","India",12,"Gujarat","State","State",NA,"Goudjerate|Gujerat|Gujerate"
13,105,"IND","India",13,"Haryana","State","State",NA,NA
14,105,"IND","India",14,"Himachal Pradesh","Union Territor","Union Territory",NA,NA
15,105,"IND","India",15,"Jammu and Kashmir","State","State",NA,NA
16,105,"IND","India",16,"Jharkhand","State","State",NA,"Vananchal"
17,105,"IND","India",17,"Karnataka","State","State",NA,"Maisur|Mysore"
18,105,"IND","India",18,"Kerala","State","State",NA,NA
19,105,"IND","India",19,"Lakshadweep","Union Territor","Union Territory",NA,"Íles Laquedives|Laccadive|Minicoy and Amindivi Islands|Laccadives|Lackadiverna|Lakkadiven|Lakkadi"
20,105,"IND","India",20,"Madhya Pradesh","State","State",NA,NA
21,105,"IND","India",21,"Maharashtra","State","State",NA,NA
22,105,"IND","India",22,"Manipur","State","State",NA,NA
23,105,"IND","India",23,"Meghalaya","State","State",NA,NA
24,105,"IND","India",24,"Mizoram","State","State",NA,NA
25,105,"IND","India",25,"Nagaland","State","State",NA,NA
26,105,"IND","India",26,"Orissa","State","State",NA,NA
27,105,"IND","India",27,"Puducherry","Union Territor","Union Territory",NA,"Pondicherry|Puduchcheri|Pondichéry"
28,105,"IND","India",28,"Punjab","State","State",NA,NA
29,105,"IND","India",29,"Rajasthan","State","State",NA,"Greater Rajasthan|Rajputana"
30,105,"IND","India",30,"Sikkim","State","State",NA,NA
31,105,"IND","India",31,"Tamil Nadu","State","State",NA,"Madras|Tamilnad"
32,105,"IND","India",32,"Telangana","State","State",NA,NA
33,105,"IND","India",33,"Tripura","State","State",NA,NA
34,105,"IND","India",34,"Uttar Pradesh","State","State",NA,"United Provinces"
35,105,"IND","India",35,"Uttaranchal","State","State",NA,"Uttarakhand"
36,105,"IND","India",36,"West Bengal","State","State",NA,"Bangla|Bengala Occidentale|Bengala Ocidental|Bengale occidental"
