State,State,District,Women,Men
AN,Andaman and Nicobar,Nicobars,1019,164
AN,Andaman and Nicobar,North  & Middle Andaman,842,128
AN,Andaman and Nicobar,South Andaman,950,119
AP,Andhra Pradesh,Anantapur,795,100
AP,Andhra Pradesh,Chittoor,740,95
AP,Andhra Pradesh,East Godavari,802,125
AP,Andhra Pradesh,Guntur,761,104
AP,Andhra Pradesh,Krishna,836,112
AP,Andhra Pradesh,Kurnool,899,141
AP,Andhra Pradesh,Prakasam,785,102
AP,Andhra Pradesh,Sri Potti Sriramulu Nellore,855,108
AP,Andhra Pradesh,Srikakulam,815,104
AP,Andhra Pradesh,Visakhapatnam,772,107
AP,Andhra Pradesh,Vizianagaram,850,98
AP,Andhra Pradesh,West Godavari,736,100
AP,Andhra Pradesh,Y.S.R.,782,103
AR,Arunachal Pradesh,Anjaw,787,127
AR,Arunachal Pradesh,Changlang,945,137
AR,Arunachal Pradesh,Dibang Valley,742,102
AR,Arunachal Pradesh,East Kameng,783,96
AR,Arunachal Pradesh,East Siang,843,114
AR,Arunachal Pradesh,Kurung Kumey,902,112
AR,Arunachal Pradesh,Lohit,1021,148
AR,Arunachal Pradesh,Lower Dibang Valley,891,126
AR,Arunachal Pradesh,Lower Subansiri,734,94
AR,Arunachal Pradesh,Papumpare,1779,224
AR,Arunachal Pradesh,Tawang,689,78
AR,Arunachal Pradesh,Tirap,1046,155
AR,Arunachal Pradesh,Upper Siang,749,94
AR,Arunachal Pradesh,Upper Subansiri,916,123
AR,Arunachal Pradesh,West Kameng,704,91
AR,Arunachal Pradesh,West Siang,763,109
AS,Assam,Baksa,1044,125
AS,Assam,Barpeta,1092,133
AS,Assam,Bongaigaon,1005,145
AS,Assam,Cachar,1044,162
AS,Assam,Chirang,996,125
AS,Assam,Darrang,1087,144
AS,Assam,Dhemaji,1106,134
AS,Assam,Dhubri,994,115
AS,Assam,Dibrugarh,1093,160
AS,Assam,Dima Hasao,984,151
AS,Assam,Goalpara,1043,160
AS,Assam,Golaghat,1089,142
AS,Assam,Hailakandi,1073,159
AS,Assam,Jorhat,1112,152
AS,Assam,Kamrup Metropolitan,881,97
AS,Assam,Kamrup,1085,130
AS,Assam,Karbi Anglong,1014,152
AS,Assam,Karimganj,1141,146
AS,Assam,Kokrajhar,980,125
AS,Assam,Lakhimpur,1065,137
AS,Assam,Morigaon,1073,143
AS,Assam,Nagaon,1006,139
AS,Assam,Nalbari,1103,163
AS,Assam,Sivasagar,1054,162
AS,Assam,Sonitpur,1073,136
AS,Assam,Tinsukia,1127,171
AS,Assam,Udalguri,1083,152
BR,Bihar,Araria,1133,117
BR,Bihar,Arwal,1275,153
BR,Bihar,Aurangabad,1194,118
BR,Bihar,Banka,1174,170
BR,Bihar,Begusarai,1203,164
BR,Bihar,Bhagalpur,1203,166
BR,Bihar,Bhojpur,1397,171
BR,Bihar,Buxer,1303,163
BR,Bihar,Darbhanga,1126,116
BR,Bihar,Gaya,1443,158
BR,Bihar,Gopalganj,1286,112
BR,Bihar,Jamui,1199,157
BR,Bihar,Jehanabad,1107,121
BR,Bihar,Kaimur (Bhabua),1175,152
BR,Bihar,Katihar,1001,111
BR,Bihar,Khagaria,1131,134
BR,Bihar,Kishanganj,1183,137
BR,Bihar,Lakhisarai,1210,148
BR,Bihar,Madhepura,1116,109
BR,Bihar,Madhubani,1126,143
BR,Bihar,Munger,1045,145
BR,Bihar,Muzaffarpur,1084,134
BR,Bihar,Nalanda,1066,128
BR,Bihar,Nawada,1228,130
BR,Bihar,Pashchim Champaran,952,128
BR,Bihar,Patna,2441,375
BR,Bihar,Purba Champaran,1072,81
BR,Bihar,Purnia,1114,133
BR,Bihar,Rohtas,1390,197
BR,Bihar,Saharsa,1139,139
BR,Bihar,Samastipur,1034,110
BR,Bihar,Saran,1130,138
BR,Bihar,Sheikhpura,1222,132
BR,Bihar,Sheohar,1019,108
BR,Bihar,Sitamarhi,1118,123
BR,Bihar,Siwan,1350,154
BR,Bihar,Supaul,1181,121
BR,Bihar,Vaishali,1242,137
CT,Chhattisgarh,Bastar,1153,160
CT,Chhattisgarh,Bijapur,1269,160
CT,Chhattisgarh,Bilaspur,1232,190
CT,Chhattisgarh,Dakshin Bastar Dantewada,1144,153
CT,Chhattisgarh,Dhamtari,1251,177
CT,Chhattisgarh,Durg,2269,315
CT,Chhattisgarh,Janjgir Champa,1134,170
CT,Chhattisgarh,Jashpur,924,144
CT,Chhattisgarh,Kabirdham,1126,150
CT,Chhattisgarh,Korba,2378,316
CT,Chhattisgarh,Korea,2131,326
CT,Chhattisgarh,Mahasamund,1130,167
CT,Chhattisgarh,Narayanpur,1434,213
CT,Chhattisgarh,Raigarh,967,150
CT,Chhattisgarh,Raipur,2251,280
CT,Chhattisgarh,Rajnandgaon,1309,163
CT,Chhattisgarh,Surguja,938,151
CT,Chhattisgarh,Uttar Bastar Kanker,1132,144
DD,Daman and Diu,Daman,587,279
DD,Daman and Diu,Diu,806,153
DL,Delhi,Central,663,76
DL,Delhi,East,615,70
DL,Delhi,New Delhi,534,67
DL,Delhi,North East,847,92
DL,Delhi,North West,607,74
DL,Delhi,North,669,49
DL,Delhi,South West,693,91
DL,Delhi,South,596,65
DL,Delhi,West,690,88
GA,Goa,North Goa,890,397
GA,Goa,South  Goa,806,370
GJ,Gujarat,Ahmadabad,768,209
GJ,Gujarat,Amreli,933,210
GJ,Gujarat,Anand,898,245
GJ,Gujarat,Banaskantha,918,229
GJ,Gujarat,Bharuch,832,226
GJ,Gujarat,Bhavnagar,926,201
GJ,Gujarat,Dohad,852,146
GJ,Gujarat,Gandhinagar,828,241
GJ,Gujarat,Jamnagar,895,206
GJ,Gujarat,Junagadh,921,211
GJ,Gujarat,Kachchh,837,212
GJ,Gujarat,Kheda,910,245
GJ,Gujarat,Mahesena,862,211
GJ,Gujarat,Narmada,935,217
GJ,Gujarat,Navsari,852,175
GJ,Gujarat,Panchmahal,935,211
GJ,Gujarat,Patan,896,206
GJ,Gujarat,Porbandar,932,234
GJ,Gujarat,Rajkot,880,211
GJ,Gujarat,Sabarkantha,910,234
GJ,Gujarat,Surat,880,206
GJ,Gujarat,Surendranagar,864,240
GJ,Gujarat,Tapi,936,224
GJ,Gujarat,The Dangs,854,210
GJ,Gujarat,Vadodara,812,219
GJ,Gujarat,Valsad,866,195
HP,Himachal Pradesh,Bilaspur,835,137
HP,Himachal Pradesh,Chamba,925,171
HP,Himachal Pradesh,Hamirpur,830,132
HP,Himachal Pradesh,Kangra,850,164
HP,Himachal Pradesh,Kinnaur,667,161
HP,Himachal Pradesh,Kullu,889,234
HP,Himachal Pradesh,Lahul and Spiti,592,169
HP,Himachal Pradesh,Mandi,856,165
HP,Himachal Pradesh,Shimla,770,180
HP,Himachal Pradesh,Sirmaur,957,245
HP,Himachal Pradesh,Solan,877,255
HP,Himachal Pradesh,Una,881,172
HR,Haryana,Ambala,1062,152
HR,Haryana,Bhiwani,1101,170
HR,Haryana,Faridabad,966,125
HR,Haryana,Fatehabad,1104,186
HR,Haryana,Gurgaon,922,141
HR,Haryana,Hisar,1089,166
HR,Haryana,Jhajjar,1031,175
HR,Haryana,Jind,1075,142
HR,Haryana,Kaithal,1007,145
HR,Haryana,Karnal,990,162
HR,Haryana,Kurukshetra,1010,160
HR,Haryana,Mahendragarh,1108,189
HR,Haryana,Mewat,1058,173
HR,Haryana,Palwal,1008,155
HR,Haryana,Panchkula,953,148
HR,Haryana,Panipat,954,149
HR,Haryana,Rewari,1011,163
HR,Haryana,Rohtak,990,174
HR,Haryana,Sirsa,1101,157
HR,Haryana,Sonipat,1016,185
HR,Haryana,Yamunanagar,1096,164
JH,Jharkhand,Bokaro,2092,275
JH,Jharkhand,Chatra,1040,102
JH,Jharkhand,Deoghar,1064,154
JH,Jharkhand,Dhanbad,2181,302
JH,Jharkhand,Dumka,951,121
JH,Jharkhand,Garhwa,985,121
JH,Jharkhand,Giridih,1119,127
JH,Jharkhand,Godda,850,100
JH,Jharkhand,Gumla,1045,125
JH,Jharkhand,Hazaribagh,1142,164
JH,Jharkhand,Jamtara,1094,166
JH,Jharkhand,Khunti,996,157
JH,Jharkhand,Kodarma,1083,125
JH,Jharkhand,Latehar,953,125
JH,Jharkhand,Lohardaga,962,107
JH,Jharkhand,Pakur,1059,144
JH,Jharkhand,Palamu,928,140
JH,Jharkhand,Pashchimi Singhbhum,939,113
JH,Jharkhand,Purbi Singhbhum,1952,280
JH,Jharkhand,Ramgarh,2100,269
JH,Jharkhand,Ranchi,1761,247
JH,Jharkhand,Sahibganj,979,126
JH,Jharkhand,Saraikela Kharsawan,890,112
JH,Jharkhand,Simdega,881,118
JK,Jammu and Kashmir,Anantnag,1162,269
JK,Jammu and Kashmir,Badgam,1253,265
JK,Jammu and Kashmir,Bandipore,1201,296
JK,Jammu and Kashmir,Baramula,1062,297
JK,Jammu and Kashmir,Doda,933,205
JK,Jammu and Kashmir,Ganderbal,1151,299
JK,Jammu and Kashmir,Jammu,944,229
JK,Jammu and Kashmir,Kargil,1032,227
JK,Jammu and Kashmir,Kathua,1081,254
JK,Jammu and Kashmir,Kishtwar,929,223
JK,Jammu and Kashmir,Kulgam,1187,338
JK,Jammu and Kashmir,Kupwara,1098,259
JK,Jammu and Kashmir,Leh(Ladakh),807,152
JK,Jammu and Kashmir,Pulwama,1078,247
JK,Jammu and Kashmir,Punch,1387,301
JK,Jammu and Kashmir,Rajouri,1128,253
JK,Jammu and Kashmir,Ramban,945,209
JK,Jammu and Kashmir,Reasi,1210,270
JK,Jammu and Kashmir,Samba,948,202
JK,Jammu and Kashmir,Shupiyan,1184,302
JK,Jammu and Kashmir,Srinagar,982,231
JK,Jammu and Kashmir,Udhampur,1098,256
KA,Karnataka,Bagalkot,956,148
KA,Karnataka,Bangalore Rural,874,132
KA,Karnataka,Bangalore,798,114
KA,Karnataka,Belgaum,930,142
KA,Karnataka,Bellary,912,149
KA,Karnataka,Bidar,993,132
KA,Karnataka,Bijapur,941,140
KA,Karnataka,Chamarajanagar,859,114
KA,Karnataka,Chikkaballapura,819,100
KA,Karnataka,Chikmagalur,736,118
KA,Karnataka,Chitradurga,937,149
KA,Karnataka,Dakshina Kannada,859,114
KA,Karnataka,Davanagere,874,126
KA,Karnataka,Dharwad,912,134
KA,Karnataka,Gadag,939,132
KA,Karnataka,Gulbarga,922,135
KA,Karnataka,Hassan,821,115
KA,Karnataka,Haveri,856,146
KA,Karnataka,Kodagu,804,116
KA,Karnataka,Kolar,906,110
KA,Karnataka,Koppal,917,160
KA,Karnataka,Mandya,798,97
KA,Karnataka,Mysore,863,113
KA,Karnataka,Raichur,965,151
KA,Karnataka,Ramanagara,766,126
KA,Karnataka,Shimoga,863,99
KA,Karnataka,Tumkur,810,116
KA,Karnataka,Udupi,860,99
KA,Karnataka,Uttara Kannada,858,99
KA,Karnataka,Yadgir,943,134
KL,Kerala,Alappuzha,718,121
KL,Kerala,Ernakulam,740,105
KL,Kerala,Idukki,710,127
KL,Kerala,Kannur,753,110
KL,Kerala,Kasaragod,823,134
KL,Kerala,Kollam,793,137
KL,Kerala,Kottayam,704,129
KL,Kerala,Kozhikode,901,126
KL,Kerala,Malappuram,992,171
KL,Kerala,Palakkad,816,191
KL,Kerala,Pathanamthitta,642,89
KL,Kerala,Thiruvananthapuram,783,138
KL,Kerala,Thrissur,749,111
KL,Kerala,Wayanad,909,175
MH,Maharashtra,Ahmadnagar,798,110
MH,Maharashtra,Akola,1029,143
MH,Maharashtra,Amravati,889,125
MH,Maharashtra,Aurangabad,860,151
MH,Maharashtra,Bhandara,823,132
MH,Maharashtra,Bid,823,127
MH,Maharashtra,Buldana,837,131
MH,Maharashtra,Chandrapur,819,126
MH,Maharashtra,Dhule,875,157
MH,Maharashtra,Gadchiroli,840,138
MH,Maharashtra,Gondiya,822,127
MH,Maharashtra,Hingoli,872,135
MH,Maharashtra,Jalgaon,799,110
MH,Maharashtra,Jalna,859,135
MH,Maharashtra,Kolhapur,827,132
MH,Maharashtra,Latur,967,151
MH,Maharashtra,Mumbai Suburban,673,100
MH,Maharashtra,Mumbai,608,62
MH,Maharashtra,Nagpur,1116,150
MH,Maharashtra,Nanded,978,187
MH,Maharashtra,Nandurbar,900,105
MH,Maharashtra,Nashik,951,163
MH,Maharashtra,Osmanabad,769,121
MH,Maharashtra,Parbhani,916,140
MH,Maharashtra,Pune,742,131
MH,Maharashtra,Raigarh,759,117
MH,Maharashtra,Ratnagiri,727,73
MH,Maharashtra,Sangli,863,122
MH,Maharashtra,Satara,740,111
MH,Maharashtra,Sindhudurg,660,64
MH,Maharashtra,Solapur,931,137
MH,Maharashtra,Thane,763,136
MH,Maharashtra,Wardha,856,124
MH,Maharashtra,Washim,876,136
MH,Maharashtra,Yavatmal,893,146
ML,Meghalaya,East Garo Hills,1235,136
ML,Meghalaya,East Khasi Hills,2173,265
ML,Meghalaya,Jaintia Hills,1133,141
ML,Meghalaya,Ribhoi,1119,147
ML,Meghalaya,South Garo Hills,1295,164
ML,Meghalaya,West Garo Hills,1195,156
ML,Meghalaya,West Khasi Hills,1051,135
MN,Manipur,Bishnupur,2257,271
MN,Manipur,Chandel,972,124
MN,Manipur,Churachandpur,852,114
MN,Manipur,Imphal East,2232,283
MN,Manipur,Imphal West,2129,269
MN,Manipur,Senapati,1052,143
MN,Manipur,Tamenglong,964,129
MN,Manipur,Thoubal,2302,294
MN,Manipur,Ukhrul,833,120
