"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,105,"IND","India",1,"Andaman and Nicobar",1,"Andaman Islands","District","District",NA,NA
2,105,"IND","India",1,"Andaman and Nicobar",2,"Nicobar Islands","District","District",NA,NA
3,105,"IND","India",2,"Andhra Pradesh",3,"Anantapur","District","District",NA,"Anantpur, Ananthapur"
4,105,"IND","India",2,"Andhra Pradesh",4,"Chittoor","District","District",NA,"Chitoor|Chittor"
5,105,"IND","India",2,"Andhra Pradesh",5,"Cuddapah","District","District",NA,NA
6,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari","District","District",NA,NA
7,105,"IND","India",2,"Andhra Pradesh",7,"Guntur","District","District",NA,NA
8,105,"IND","India",2,"Andhra Pradesh",8,"Krishna","District","District",NA,"Kistna"
9,105,"IND","India",2,"Andhra Pradesh",9,"Kurnool","District","District",NA,NA
10,105,"IND","India",2,"Andhra Pradesh",10,"Nellore","District","District",NA,NA
11,105,"IND","India",2,"Andhra Pradesh",11,"Prakasam","District","District",NA,NA
12,105,"IND","India",2,"Andhra Pradesh",12,"Srikakulam","District","District",NA,"Srikakulum"
13,105,"IND","India",2,"Andhra Pradesh",13,"Vishakhapatnam","District","District",NA,"Fisakapatnam|Vizagapatam|Visakhapatnam"
14,105,"IND","India",2,"Andhra Pradesh",14,"Vizianagaram","District","District",NA,"Vizianagram"
15,105,"IND","India",2,"Andhra Pradesh",15,"West Godavari","District","District",NA,NA
16,105,"IND","India",3,"Arunachal Pradesh",16,"Changlang","District","District",NA,NA
17,105,"IND","India",3,"Arunachal Pradesh",17,"East Kameng","District","District",NA,NA
18,105,"IND","India",3,"Arunachal Pradesh",18,"East Siang","District","District",NA,NA
19,105,"IND","India",3,"Arunachal Pradesh",19,"Kurung Kumey","District","District",NA,NA
20,105,"IND","India",3,"Arunachal Pradesh",20,"Lohit","District","District",NA,"Lohit Frontier Division"
21,105,"IND","India",3,"Arunachal Pradesh",21,"Lower Dibang Valley","District","District",NA,NA
22,105,"IND","India",3,"Arunachal Pradesh",22,"Lower Subansiri","District","District",NA,NA
23,105,"IND","India",3,"Arunachal Pradesh",23,"Papum Pare","District","District",NA,NA
24,105,"IND","India",3,"Arunachal Pradesh",24,"Tawang","District","District",NA,NA
25,105,"IND","India",3,"Arunachal Pradesh",25,"Tirap","District","District",NA,"Tirap Frontier Tract"
26,105,"IND","India",3,"Arunachal Pradesh",26,"Upper Dibang Valley","District","District",NA,NA
27,105,"IND","India",3,"Arunachal Pradesh",27,"Upper Siang","District","District",NA,NA
28,105,"IND","India",3,"Arunachal Pradesh",28,"Upper Subansiri","District","District",NA,NA
29,105,"IND","India",3,"Arunachal Pradesh",29,"West Kameng","District","District",NA,NA
30,105,"IND","India",3,"Arunachal Pradesh",30,"West Siang","District","District",NA,NA
31,105,"IND","India",4,"Assam",31,"Barpeta","District","District",NA,NA
32,105,"IND","India",4,"Assam",32,"Bongaigaon","District","District",NA,NA
33,105,"IND","India",4,"Assam",33,"Cachar","District","District",NA,NA
34,105,"IND","India",4,"Assam",34,"Darrang","District","District",NA,NA
35,105,"IND","India",4,"Assam",35,"Dhemaji","District","District",NA,NA
36,105,"IND","India",4,"Assam",36,"Dhuburi","District","District",NA,NA
37,105,"IND","India",4,"Assam",37,"Dibrugarh","District","District",NA,NA
38,105,"IND","India",4,"Assam",38,"Goalpara","District","District",NA,NA
39,105,"IND","India",4,"Assam",39,"Golaghat","District","District",NA,NA
40,105,"IND","India",4,"Assam",40,"Hailakandi","District","District",NA,NA
41,105,"IND","India",4,"Assam",41,"Jorhat","District","District",NA,NA
42,105,"IND","India",4,"Assam",42,"Kamrup","District","District",NA,"Kampur, Ramrup"
43,105,"IND","India",4,"Assam",43,"Karbi Anglong","District","District",NA,"Mikir Hills , Korbi Anglong"
44,105,"IND","India",4,"Assam",44,"Karimganj","District","District",NA,NA
45,105,"IND","India",4,"Assam",45,"Kokrajhar","District","District",NA,NA
46,105,"IND","India",4,"Assam",46,"Lakhimpur","District","District",NA,"North Lakhimpur, Lakhmipur, Lakimpur"
47,105,"IND","India",4,"Assam",47,"Marigaon","District","District",NA,NA
48,105,"IND","India",4,"Assam",48,"Nagaon","District","District",NA,"Nowgong"
49,105,"IND","India",4,"Assam",49,"Nalbari","District","District",NA,NA
50,105,"IND","India",4,"Assam",50,"North Cachar Hills","District","District",NA,NA
51,105,"IND","India",4,"Assam",51,"Sibsagar","District","District",NA,"Sivasagar"
52,105,"IND","India",4,"Assam",52,"Sonitpur","District","District",NA,"Sontipur"
53,105,"IND","India",4,"Assam",53,"Tinsukia","District","District",NA,NA
54,105,"IND","India",5,"Bihar",54,"Araria","District","District",NA,NA
55,105,"IND","India",5,"Bihar",55,"Aurangabad","District","District",NA,NA
56,105,"IND","India",5,"Bihar",56,"Banka","District","District",NA,NA
57,105,"IND","India",5,"Bihar",57,"Begusarai","District","District",NA,NA
58,105,"IND","India",5,"Bihar",58,"Bhabua","District","District",NA,"Kaimur"
59,105,"IND","India",5,"Bihar",59,"Bhagalpur","District","District",NA,"Bhagaipur"
60,105,"IND","India",5,"Bihar",60,"Bhojpur","District","District",NA,NA
61,105,"IND","India",5,"Bihar",61,"Buxar","District","District",NA,NA
62,105,"IND","India",5,"Bihar",62,"Darbhanga","District","District",NA,NA
63,105,"IND","India",5,"Bihar",63,"Gaya","District","District",NA,NA
64,105,"IND","India",5,"Bihar",64,"Gopalganj","District","District",NA,NA
65,105,"IND","India",5,"Bihar",65,"Jamui","District","District",NA,"Zamui"
66,105,"IND","India",5,"Bihar",66,"Jehanabad","District","District",NA,NA
67,105,"IND","India",5,"Bihar",67,"Katihar","District","District",NA,"Kathihar"
68,105,"IND","India",5,"Bihar",68,"Khagaria","District","District",NA,NA
69,105,"IND","India",5,"Bihar",69,"Kishanganj","District","District",NA,NA
70,105,"IND","India",5,"Bihar",70,"Lakhisarai","District","District",NA,NA
71,105,"IND","India",5,"Bihar",71,"Madhepura","District","District",NA,"Madhipura"
72,105,"IND","India",5,"Bihar",72,"Madhubani","District","District",NA,NA
73,105,"IND","India",5,"Bihar",73,"Munger","District","District",NA,"Monghyr"
74,105,"IND","India",5,"Bihar",74,"Muzaffarpur","District","District",NA,"Muzafarpur"
75,105,"IND","India",5,"Bihar",75,"Nalanda","District","District",NA,NA
76,105,"IND","India",5,"Bihar",76,"Nawada","District","District",NA,"Nawadah"
77,105,"IND","India",5,"Bihar",77,"Pashchim Champaran","District","District",NA,"West Champaran, Paschimi Champaran, Paschim-Champaram"
78,105,"IND","India",5,"Bihar",78,"Patna","District","District",NA,NA
79,105,"IND","India",5,"Bihar",79,"Purba Champaran","District","District",NA,"East Champaran, Purbi Champaran, Purba Champaram"
80,105,"IND","India",5,"Bihar",80,"Purnia","District","District",NA,"Purnea"
81,105,"IND","India",5,"Bihar",81,"Rohtas","District","District",NA,NA
82,105,"IND","India",5,"Bihar",82,"Saharsa","District","District",NA,NA
83,105,"IND","India",5,"Bihar",83,"Samastipur","District","District",NA,NA
84,105,"IND","India",5,"Bihar",84,"Saran","District","District",NA,NA
85,105,"IND","India",5,"Bihar",85,"Sheikhpura","District","District",NA,NA
86,105,"IND","India",5,"Bihar",86,"Sheohar","District","District",NA,NA
87,105,"IND","India",5,"Bihar",87,"Sitamarhi","District","District",NA,NA
88,105,"IND","India",5,"Bihar",88,"Siwan","District","District",NA,"Sivan"
89,105,"IND","India",5,"Bihar",89,"Supaul","District","District",NA,NA
90,105,"IND","India",5,"Bihar",90,"Vaishali","District","District",NA,NA
91,105,"IND","India",6,"Chandigarh",91,"Chandigarh","District","District",NA,NA
92,105,"IND","India",7,"Chhattisgarh",92,"Bastar","District","District",NA,"Baster"
93,105,"IND","India",7,"Chhattisgarh",93,"Bilaspur","District","District",NA,NA
94,105,"IND","India",7,"Chhattisgarh",94,"Dantewada","District","District",NA,NA
95,105,"IND","India",7,"Chhattisgarh",95,"Dhamtari","District","District",NA,NA
96,105,"IND","India",7,"Chhattisgarh",96,"Durg","District","District",NA,NA
97,105,"IND","India",7,"Chhattisgarh",97,"Janjgir-Champa","District","District",NA,"Janjgir"
98,105,"IND","India",7,"Chhattisgarh",98,"Jashpur","District","District",NA,NA
99,105,"IND","India",7,"Chhattisgarh",99,"Kanker","District","District",NA,NA
100,105,"IND","India",7,"Chhattisgarh",100,"Kawardha","District","District",NA,NA
101,105,"IND","India",7,"Chhattisgarh",101,"Korba","District","District",NA,NA
102,105,"IND","India",7,"Chhattisgarh",102,"Koriya","District","District",NA,NA
103,105,"IND","India",7,"Chhattisgarh",103,"Mahasamund","District","District",NA,NA
104,105,"IND","India",7,"Chhattisgarh",104,"Raigarh","District","District",NA,NA
105,105,"IND","India",7,"Chhattisgarh",105,"Raipur","District","District",NA,NA
106,105,"IND","India",7,"Chhattisgarh",106,"Raj Nandgaon","District","District",NA,NA
107,105,"IND","India",7,"Chhattisgarh",107,"Surguja","District","District",NA,NA
108,105,"IND","India",8,"Dadra and Nagar Haveli",108,"Dadra and Nagar Haveli","District","District",NA,NA
109,105,"IND","India",9,"Daman and Diu",109,"Daman","District","District",NA,NA
110,105,"IND","India",9,"Daman and Diu",110,"Junagadh","District","District",NA,NA
111,105,"IND","India",10,"Delhi",111,"Delhi","District","District",NA,NA
112,105,"IND","India",11,"Goa",112,"North Goa","District","District",NA,NA
113,105,"IND","India",11,"Goa",113,"South Goa","District","District",NA,NA
114,105,"IND","India",12,"Gujarat",114,"Ahmadabad","District","District",NA,NA
115,105,"IND","India",12,"Gujarat",115,"Amreli","District","District",NA,"Amereli"
116,105,"IND","India",12,"Gujarat",116,"Anand","District","District",NA,NA
117,105,"IND","India",12,"Gujarat",117,"Banas Kantha","District","District",NA,"Banaskantha, Palanpur"
118,105,"IND","India",12,"Gujarat",118,"Bharuch","District","District",NA,NA
119,105,"IND","India",12,"Gujarat",119,"Bhavnagar","District","District",NA,"Bhaunagar"
120,105,"IND","India",12,"Gujarat",120,"Dahod","District","District",NA,"Dohad"
121,105,"IND","India",12,"Gujarat",121,"Gandhinagar","District","District",NA,NA
