"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,105,"IND","India",1,"Andaman and Nicobar",1,"Andaman Islands",1,"n.a. ( 2178)","Taluk","Taluk",NA,NA
2,105,"IND","India",1,"Andaman and Nicobar",2,"Nicobar Islands",2,"n.a. ( 2304)","Taluk","Taluk",NA,NA
3,105,"IND","India",2,"Andhra Pradesh",3,"Anantapur",3,"Anantapur","Taluk","Taluk",NA,NA
4,105,"IND","India",2,"Andhra Pradesh",3,"Anantapur",4,"Dharmavaram","Taluk","Taluk",NA,NA
5,105,"IND","India",2,"Andhra Pradesh",3,"Anantapur",5,"Gooty","Taluk","Taluk",NA,NA
6,105,"IND","India",2,"Andhra Pradesh",3,"Anantapur",6,"Hindupur","Taluk","Taluk",NA,NA
7,105,"IND","India",2,"Andhra Pradesh",3,"Anantapur",7,"Kadiri","Taluk","Taluk",NA,NA
8,105,"IND","India",2,"Andhra Pradesh",3,"Anantapur",8,"Kalyandurg","Taluk","Taluk",NA,NA
9,105,"IND","India",2,"Andhra Pradesh",3,"Anantapur",9,"Madakasira","Taluk","Taluk",NA,NA
10,105,"IND","India",2,"Andhra Pradesh",3,"Anantapur",10,"Penukonda","Taluk","Taluk",NA,NA
11,105,"IND","India",2,"Andhra Pradesh",3,"Anantapur",11,"Rayadurg","Taluk","Taluk",NA,NA
12,105,"IND","India",2,"Andhra Pradesh",3,"Anantapur",12,"Tadpatri","Taluk","Taluk",NA,NA
13,105,"IND","India",2,"Andhra Pradesh",4,"Chittoor",13,"Chandragiri","Taluk","Taluk",NA,NA
14,105,"IND","India",2,"Andhra Pradesh",4,"Chittoor",14,"Chittoor","Taluk","Taluk",NA,NA
15,105,"IND","India",2,"Andhra Pradesh",4,"Chittoor",15,"Kuppam","Taluk","Taluk",NA,NA
16,105,"IND","India",2,"Andhra Pradesh",4,"Chittoor",16,"Madanapalle","Taluk","Taluk",NA,NA
17,105,"IND","India",2,"Andhra Pradesh",4,"Chittoor",17,"Palmaner","Taluk","Taluk",NA,NA
18,105,"IND","India",2,"Andhra Pradesh",4,"Chittoor",18,"Punganuru","Taluk","Taluk",NA,NA
19,105,"IND","India",2,"Andhra Pradesh",4,"Chittoor",19,"Puttur","Taluk","Taluk",NA,NA
20,105,"IND","India",2,"Andhra Pradesh",4,"Chittoor",20,"Satyavedu","Taluk","Taluk",NA,NA
21,105,"IND","India",2,"Andhra Pradesh",4,"Chittoor",21,"Sri Kalahasti","Taluk","Taluk",NA,NA
22,105,"IND","India",2,"Andhra Pradesh",4,"Chittoor",22,"Vayalipad","Taluk","Taluk",NA,"Vayalpad"
23,105,"IND","India",2,"Andhra Pradesh",5,"Cuddapah",23,"Badvel","Taluk","Taluk",NA,NA
24,105,"IND","India",2,"Andhra Pradesh",5,"Cuddapah",24,"Cuddapah","Taluk","Taluk",NA,NA
25,105,"IND","India",2,"Andhra Pradesh",5,"Cuddapah",25,"Jammalamadugu","Taluk","Taluk",NA,NA
26,105,"IND","India",2,"Andhra Pradesh",5,"Cuddapah",26,"Kamalapuram","Taluk","Taluk",NA,NA
27,105,"IND","India",2,"Andhra Pradesh",5,"Cuddapah",27,"Proddatur","Taluk","Taluk",NA,NA
28,105,"IND","India",2,"Andhra Pradesh",5,"Cuddapah",28,"Pulivendla","Taluk","Taluk",NA,NA
29,105,"IND","India",2,"Andhra Pradesh",5,"Cuddapah",29,"Rajampet","Taluk","Taluk",NA,NA
30,105,"IND","India",2,"Andhra Pradesh",5,"Cuddapah",30,"Rayachoti","Taluk","Taluk",NA,NA
31,105,"IND","India",2,"Andhra Pradesh",5,"Cuddapah",31,"Sidhout","Taluk","Taluk",NA,NA
32,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari",32,"Addatigala","Taluk","Taluk",NA,"Ellavaram"
33,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari",33,"Amalapuram","Taluk","Taluk",NA,NA
34,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari",34,"Kakinada","Taluk","Taluk",NA,NA
35,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari",35,"Kottapeta","Taluk","Taluk",NA,NA
36,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari",36,"Mummidivaram","Taluk","Taluk",NA,NA
37,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari",37,"Peddapuram","Taluk","Taluk",NA,NA
38,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari",38,"Pithapuram","Taluk","Taluk",NA,NA
39,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari",39,"Prathipadu","Taluk","Taluk",NA,NA
40,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari",40,"Rajahmundry","Taluk","Taluk",NA,NA
41,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari",41,"Ramachandrapuram","Taluk","Taluk",NA,NA
42,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari",42,"Rampa Chodavaram","Taluk","Taluk",NA,NA
43,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari",43,"Razole","Taluk","Taluk",NA,NA
44,105,"IND","India",2,"Andhra Pradesh",6,"East Godavari",44,"Tuni","Taluk","Taluk",NA,NA
45,105,"IND","India",2,"Andhra Pradesh",7,"Guntur",45,"Bapatla","Taluk","Taluk",NA,NA
46,105,"IND","India",2,"Andhra Pradesh",7,"Guntur",46,"Guntur","Taluk","Taluk",NA,NA
47,105,"IND","India",2,"Andhra Pradesh",7,"Guntur",47,"Guruzala","Taluk","Taluk",NA,NA
48,105,"IND","India",2,"Andhra Pradesh",7,"Guntur",48,"Narasaraopet","Taluk","Taluk",NA,NA
49,105,"IND","India",2,"Andhra Pradesh",7,"Guntur",49,"Repalle","Taluk","Taluk",NA,NA
50,105,"IND","India",2,"Andhra Pradesh",7,"Guntur",50,"Sattenapalle","Taluk","Taluk",NA,NA
51,105,"IND","India",2,"Andhra Pradesh",7,"Guntur",51,"Tenali","Taluk","Taluk",NA,NA
52,105,"IND","India",2,"Andhra Pradesh",7,"Guntur",52,"Vinukonda","Taluk","Taluk",NA,NA
53,105,"IND","India",2,"Andhra Pradesh",8,"Krishna",53,"Avanigadda","Taluk","Taluk",NA,NA
54,105,"IND","India",2,"Andhra Pradesh",8,"Krishna",54,"Gannavaram","Taluk","Taluk",NA,NA
55,105,"IND","India",2,"Andhra Pradesh",8,"Krishna",55,"Gudivada","Taluk","Taluk",NA,NA
56,105,"IND","India",2,"Andhra Pradesh",8,"Krishna",56,"Jaggayyapeta","Taluk","Taluk",NA,NA
57,105,"IND","India",2,"Andhra Pradesh",8,"Krishna",57,"Kaikalur","Taluk","Taluk",NA,NA
58,105,"IND","India",2,"Andhra Pradesh",8,"Krishna",58,"Machilipatnam","Taluk","Taluk",NA,NA
59,105,"IND","India",2,"Andhra Pradesh",8,"Krishna",59,"Nandigama","Taluk","Taluk",NA,NA
60,105,"IND","India",2,"Andhra Pradesh",8,"Krishna",60,"Nuzvid","Taluk","Taluk",NA,NA
61,105,"IND","India",2,"Andhra Pradesh",8,"Krishna",61,"Tiruvuru","Taluk","Taluk",NA,NA
62,105,"IND","India",2,"Andhra Pradesh",8,"Krishna",62,"Vijayawada","Taluk","Taluk",NA,NA
63,105,"IND","India",2,"Andhra Pradesh",9,"Kurnool",63,"Adoni","Taluk","Taluk",NA,"Emmiganuru"
64,105,"IND","India",2,"Andhra Pradesh",9,"Kurnool",64,"Allagadda","Taluk","Taluk",NA,NA
65,105,"IND","India",2,"Andhra Pradesh",9,"Kurnool",65,"Alur","Taluk","Taluk",NA,NA
66,105,"IND","India",2,"Andhra Pradesh",9,"Kurnool",66,"Atmakur","Taluk","Taluk",NA,NA
67,105,"IND","India",2,"Andhra Pradesh",9,"Kurnool",67,"Banganapalli","Taluk","Taluk",NA,"Banganapalle"
68,105,"IND","India",2,"Andhra Pradesh",9,"Kurnool",68,"Dhone","Taluk","Taluk",NA,NA
69,105,"IND","India",2,"Andhra Pradesh",9,"Kurnool",69,"Koilkuntla","Taluk","Taluk",NA,NA
70,105,"IND","India",2,"Andhra Pradesh",9,"Kurnool",70,"Kurnool","Taluk","Taluk",NA,NA
71,105,"IND","India",2,"Andhra Pradesh",9,"Kurnool",71,"Nandikotkur","Taluk","Taluk",NA,NA
72,105,"IND","India",2,"Andhra Pradesh",9,"Kurnool",72,"Nandyal","Taluk","Taluk",NA,NA
73,105,"IND","India",2,"Andhra Pradesh",9,"Kurnool",73,"Pattikonda","Taluk","Taluk",NA,NA
74,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",74,"Atmakur","Taluk","Taluk",NA,NA
75,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",75,"Gudur","Taluk","Taluk",NA,NA
76,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",76,"Kavali","Taluk","Taluk",NA,NA
77,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",77,"Kovvur","Taluk","Taluk",NA,NA
78,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",78,"n.a. ( 1971)","Taluk","Taluk",NA,NA
79,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",79,"n.a. ( 1975)","Taluk","Taluk",NA,NA
80,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",80,"n.a. ( 1983)","Taluk","Taluk",NA,NA
81,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",81,"n.a. ( 1991)","Taluk","Taluk",NA,NA
82,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",82,"n.a. ( 1992)","Taluk","Taluk",NA,NA
83,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",83,"n.a. ( 1997)","Taluk","Taluk",NA,NA
84,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",84,"n.a. ( 1998)","Taluk","Taluk",NA,NA
85,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",85,"n.a. ( 2000)","Taluk","Taluk",NA,NA
86,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",86,"n.a. ( 2002)","Taluk","Taluk",NA,NA
87,105,"IND","India",2,"Andhra Pradesh",10,"Nellore",87,"n.a. ( 2010)","Taluk","Taluk",NA,NA
