,State,Percent_with_improved_water - 4,Percent_with_improved_water - 3
1,AN,95.2334024,95.2334024
2,AP,72.39241111,94
3,AR,89.40453581,85
4,AS,81.70387092,72.4
5,BR,97.70794626,96.1
6,CT,90.14844883,77.9
7,DD,92.68798424,92.68798424
8,DL,88.25099174,92.1
9,GA,96.30100756,80.1
10,GJ,88.64498149,89.8
11,HP,93.82093225,88.4
12,HR,93.84069351,95.6
13,JH,76.33786106,57
14,JK,86.97523751,80.8
15,KA,87.28895646,86.2
16,KL,94.00294245,69.1
17,MH,89.28488657,92.7
18,ML,68.45088031,63.1
19,MN,40.73984135,52.1
20,MP,84.65678106,74.2
21,MZ,92.88808458,85
22,NL,77.68720235,62.8
23,OR,87.94770518,78.4
24,PB,99.01432914,99.5
25,PY,94.5701092,0
26,RJ,85.67388801,81.8
27,SK,97.63753754,77.6
28,TG,77.57279733,77.57279733
29,TN,91.63722199,88.6
30,TR,83.30505543,76.1
32,UT,90.88741678,87.4
33,WB,93.49622888,93.7
31,UP,95.84438367,93.7
