State,State,District,Women,Men,Households with an improved drinking water source1,Households with electricity,Households using improved sanitation facility2,Households using clean fuel for cooking3
AN,Andaman and Nicobar,Nicobars,1019,164,99.8,99.4,86.8,39.3
AN,Andaman and Nicobar,North  & Middle Andaman,842,128,90.3,92.5,49.8,35.5
AN,Andaman and Nicobar,South Andaman,950,119,95.5,98.7,83.6,77.3
AP,Andhra Pradesh,Anantapur,795,100,61.3,99.1,46.5,65.9
AP,Andhra Pradesh,Chittoor,740,95,65.3,98.6,39.7,59.3
AP,Andhra Pradesh,East Godavari,802,125,82.1,99.1,56.8,50.3
AP,Andhra Pradesh,Guntur,761,104,74.9,99.5,63.2,79.7
AP,Andhra Pradesh,Krishna,836,112,70,99,63.2,73.3
AP,Andhra Pradesh,Kurnool,899,141,81.7,99.7,52.9,63.7
AP,Andhra Pradesh,Prakasam,785,102,58.2,97.7,53.6,65.9
AP,Andhra Pradesh,Sri Potti Sriramulu Nellore,855,108,67.7,97.9,52.7,57.1
AP,Andhra Pradesh,Srikakulam,815,104,75.7,97.3,33.2,38
AP,Andhra Pradesh,Visakhapatnam,772,107,84.3,98.5,55.2,56.1
AP,Andhra Pradesh,Vizianagaram,850,98,89.5,98.1,31.9,48.1
AP,Andhra Pradesh,West Godavari,736,100,74.3,98.7,61.2,62.3
AP,Andhra Pradesh,Y.S.R.,782,103,55.8,99.7,68.7,72.1
AR,Arunachal Pradesh,Anjaw,787,127,87.2,90.4,45.3,24.7
AR,Arunachal Pradesh,Changlang,945,137,70,78.3,56.4,26.5
AR,Arunachal Pradesh,Dibang Valley,742,102,99.3,89.9,77.8,24.7
AR,Arunachal Pradesh,East Kameng,783,96,78.6,50.5,38.3,36.8
AR,Arunachal Pradesh,East Siang,843,114,98.3,96.8,72.8,44.9
AR,Arunachal Pradesh,Kurung Kumey,902,112,92.4,91.2,46.7,39.2
AR,Arunachal Pradesh,Lohit,1021,148,92.6,78.4,60.5,23.9
AR,Arunachal Pradesh,Lower Dibang Valley,891,126,95.9,72.5,68.6,41.7
AR,Arunachal Pradesh,Lower Subansiri,734,94,97.6,98.5,73,64.5
AR,Arunachal Pradesh,Papumpare,1779,224,91.5,98.9,68,84.3
AR,Arunachal Pradesh,Tawang,689,78,94.7,95.4,54.3,45.6
AR,Arunachal Pradesh,Tirap,1046,155,68.3,97.9,54.9,21
AR,Arunachal Pradesh,Upper Siang,749,94,92.5,91.8,60,22.4
AR,Arunachal Pradesh,Upper Subansiri,916,123,86.2,88.3,59.9,38.5
AR,Arunachal Pradesh,West Kameng,704,91,94.8,98.1,58.8,56.1
AR,Arunachal Pradesh,West Siang,763,109,90.6,94.4,76,48.7
AS,Assam,Baksa,1044,125,82.4,81.8,54.3,16.6
AS,Assam,Barpeta,1092,133,97.8,72.3,34.9,22.6
AS,Assam,Bongaigaon,1005,145,74,88.4,45.9,27.2
AS,Assam,Cachar,1044,162,61.6,67.5,37.3,28.8
AS,Assam,Chirang,996,125,70.8,72,32.6,18.3
AS,Assam,Darrang,1087,144,97,77,45.6,17.6
AS,Assam,Dhemaji,1106,134,91.7,63.5,41.4,11
AS,Assam,Dhubri,994,115,89.4,69.4,33,16.7
AS,Assam,Dibrugarh,1093,160,98.8,75.4,56.6,28.1
AS,Assam,Dima Hasao,984,151,47.7,79.2,59,24.3
AS,Assam,Goalpara,1043,160,87.1,71.3,46.2,21.3
AS,Assam,Golaghat,1089,142,94.3,86.8,59.6,15.7
AS,Assam,Hailakandi,1073,159,51.2,55.4,36,13.8
AS,Assam,Jorhat,1112,152,88.1,87.1,64.5,34.4
AS,Assam,Kamrup Metropolitan,881,97,80.1,95,61.2,79
AS,Assam,Kamrup,1085,130,93.9,88.8,52.6,37.3
AS,Assam,Karbi Anglong,1014,152,52.4,81.7,41.5,14.4
AS,Assam,Karimganj,1141,146,62.8,71.3,39.5,22.5
AS,Assam,Kokrajhar,980,125,76.5,74.1,39.2,18.3
AS,Assam,Lakhimpur,1065,137,73.4,77.6,49.6,18.9
AS,Assam,Morigaon,1073,143,98,77.7,40.1,18
AS,Assam,Nagaon,1006,139,92.7,83.4,45.5,19
AS,Assam,Nalbari,1103,163,98.4,84,51.2,35.5
AS,Assam,Sivasagar,1054,162,96.2,78.7,55.5,26.4
AS,Assam,Sonitpur,1073,136,71.2,79.6,61,22.7
AS,Assam,Tinsukia,1127,171,96,76.3,50.8,26.9
AS,Assam,Udalguri,1083,152,81.2,84.8,53.8,14.1
BR,Bihar,Araria,1133,117,99.6,48.6,12.5,5.2
BR,Bihar,Arwal,1275,153,99.1,47.1,21.3,10.2
BR,Bihar,Aurangabad,1194,118,98.8,59.7,27.1,16.6
BR,Bihar,Banka,1174,170,92.9,47.2,14.3,9.3
BR,Bihar,Begusarai,1203,164,99.1,63.6,34.2,16.5
BR,Bihar,Bhagalpur,1203,166,97.3,69.2,32.3,23.2
BR,Bihar,Bhojpur,1397,171,99.9,64.5,26.2,21
BR,Bihar,Buxer,1303,163,99.7,65.7,27.9,23.3
BR,Bihar,Darbhanga,1126,116,99.9,58.4,27.7,18.3
BR,Bihar,Gaya,1443,158,96.7,71.2,26.8,15.6
BR,Bihar,Gopalganj,1286,112,99,56.8,26.4,20.4
BR,Bihar,Jamui,1199,157,78.6,62,14.8,9.2
BR,Bihar,Jehanabad,1107,121,99.4,68.8,29.3,20.1
