,State,Num_Households,Num_with_improved_water,Percent_with_improved_water - 4,Percent_with_improved_water - 3
1,AN,2413,2297.982,95.2334024,
2,AP,10265,7431.081,72.39241111,94
3,AR,14617,13068.261,89.40453581,85
4,AS,24542,20051.764,81.70387092,72.4
5,BR,36772,35929.166,97.70794626,96.1
6,CT,20275,18277.598,90.14844883,77.9
7,DD,1523,1411.638,92.68798424,
8,DL,6050,5339.185,88.25099174,92.1
9,GA,1588,1529.26,96.30100756,80.1
10,GJ,20524,18193.496,88.64498149,89.8
11,HP,9225,8654.981,93.82093225,88.4
12,HR,17332,16264.469,93.84069351,95.6
13,JH,25723,19636.388,76.33786106,57
14,JK,17894,15563.349,86.97523751,80.8
15,KA,23842,20811.433,87.28895646,86.2
16,KL,11555,10862.04,94.00294245,69.1
17,MH,26890,24008.706,89.28488657,92.7
18,ML,7327,5015.396,68.45088031,63.1
19,MN,11724,4776.339,40.73984135,52.1
20,MP,52042,44057.082,84.65678106,74.2
21,MZ,11397,10586.455,92.88808458,85
22,NL,11213,8711.066,77.68720235,62.8
23,OR,30242,26597.145,87.94770518,78.4
24,PB,16449,16286.867,99.01432914,99.5
25,PY,3205,3030.972,94.5701092,
26,RJ,34915,29913.038,85.67388801,81.8
27,SK,4662,4551.862,97.63753754,77.6
28,TG,7786,6039.818,77.57279733,
29,TN,26033,23855.918,91.63722199,88.6
30,TR,4510,3757.058,83.30505543,76.1
31,UP,76233,73065.049,95.84438367,93.7
32,UT,15171,13788.53,90.88741678,87.4
33,WB,15327,14330.167,93.49622888,93.7
